date,water_level,precipitation,flood_occurred,precipitation_7days,precipitation_15days,precipitation_30days,water_level_t-1,water_level_t-2,precipitation_t-1,precipitation_t-2,precipitation_t-3,target_water_level,precipitation_t+1,precipitation_t+2,precipitation_t+3,precipitation_t+4,day,month,year
2016-01-01,9.300000190734863,0.0,False,0.0,0.0,0.0,9.300000190734863,9.300000190734863,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,1,1,2016
2016-01-02,9.3,0.0,False,0.0,0.0,0.0,9.300000190734863,9.300000190734863,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,2,1,2016
2016-01-03,9.3,0.0,False,0.0,0.0,0.0,9.3,9.300000190734863,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,3,1,2016
2016-01-04,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,4,1,2016
2016-01-05,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,5,1,2016
2016-01-06,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,6,1,2016
2016-01-07,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,7,1,2016
2016-01-08,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,8,1,2016
2016-01-09,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,9,1,2016
2016-01-10,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,10,1,2016
2016-01-11,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,11,1,2016
2016-01-12,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,12,1,2016
2016-01-13,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,13,1,2016
2016-01-14,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,14,1,2016
2016-01-15,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.3,15,1,2016
2016-01-16,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.3,12.7,16,1,2016
2016-01-17,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.3,12.7,0.8,17,1,2016
2016-01-18,9.3,0.0,False,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,9.3,0.3,12.7,0.8,0.0,18,1,2016
2016-01-19,9.3,0.3,False,0.3,0.3,0.3,9.3,9.3,0.0,0.0,0.0,9.3,12.7,0.8,0.0,0.0,19,1,2016
2016-01-20,9.3,12.7,False,13.0,13.0,13.0,9.3,9.3,0.3,0.0,0.0,9.3,0.8,0.0,0.0,0.0,20,1,2016
2016-01-21,9.3,0.8,False,13.8,13.8,13.8,9.3,9.3,12.7,0.3,0.0,9.3,0.0,0.0,0.0,0.4,21,1,2016
2016-01-22,9.3,0.0,False,13.8,13.8,13.8,9.3,9.3,0.8,12.7,0.3,9.3,0.0,0.0,0.4,0.0,22,1,2016
2016-01-23,9.3,0.0,False,13.8,13.8,13.8,9.3,9.3,0.0,0.8,12.7,9.3,0.0,0.4,0.0,0.0,23,1,2016
2016-01-24,9.3,0.0,False,13.8,13.8,13.8,9.3,9.3,0.0,0.0,0.8,9.3,0.4,0.0,0.0,0.0,24,1,2016
2016-01-25,9.3,0.4,False,14.2,14.2,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,25,1,2016
2016-01-26,9.3,0.0,False,13.899999999999999,14.2,14.2,9.3,9.3,0.4,0.0,0.0,9.3,0.0,0.0,0.0,0.0,26,1,2016
2016-01-27,9.3,0.0,False,1.2000000000000002,14.2,14.2,9.3,9.3,0.0,0.4,0.0,9.3,0.0,0.0,0.0,0.0,27,1,2016
2016-01-28,9.3,0.0,False,0.4,14.2,14.2,9.3,9.3,0.0,0.0,0.4,9.3,0.0,0.0,0.0,0.0,28,1,2016
2016-01-29,9.3,0.0,False,0.4,14.2,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,29,1,2016
2016-01-30,9.3,0.0,False,0.4,14.2,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,30,1,2016
2016-01-31,9.3,0.0,False,0.4,14.2,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,31,1,2016
2016-02-01,9.3,0.0,False,0.0,14.2,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,1,2,2016
2016-02-02,9.3,0.0,False,0.0,14.2,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,2,2,2016
2016-02-03,9.3,0.0,False,0.0,13.899999999999999,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,3,2,2016
2016-02-04,9.3,0.0,False,0.0,1.2000000000000002,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,4,2,2016
2016-02-05,9.3,0.0,False,0.0,0.4,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,5,2,2016
2016-02-06,9.3,0.0,False,0.0,0.4,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,6,2,2016
2016-02-07,9.3,0.0,False,0.0,0.4,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,7,2,2016
2016-02-08,9.3,0.0,False,0.0,0.4,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,8,2,2016
2016-02-09,9.3,0.0,False,0.0,0.0,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,9,2,2016
2016-02-10,9.3,0.0,False,0.0,0.0,14.2,9.3,9.3,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,10,2,2016
2016-02-11,9.3,0.0,False,0.0,0.0,14.2,9.3,9.3,0.0,0.0,0.0,9.29,0.0,0.0,0.0,0.0,11,2,2016
2016-02-12,9.29,0.0,False,0.0,0.0,14.2,9.3,9.3,0.0,0.0,0.0,9.29,0.0,0.0,0.0,0.0,12,2,2016
2016-02-13,9.29,0.0,False,0.0,0.0,14.2,9.29,9.3,0.0,0.0,0.0,9.29,0.0,0.0,0.0,0.0,13,2,2016
2016-02-14,9.29,0.0,False,0.0,0.0,14.2,9.29,9.29,0.0,0.0,0.0,9.29,0.0,0.0,0.0,0.0,14,2,2016
2016-02-15,9.29,0.0,False,0.0,0.0,14.2,9.29,9.29,0.0,0.0,0.0,9.29,0.0,0.0,0.0,0.0,15,2,2016
2016-02-16,9.29,0.0,False,0.0,0.0,14.2,9.29,9.29,0.0,0.0,0.0,9.29,0.0,0.0,0.0,0.0,16,2,2016
2016-02-17,9.29,0.0,False,0.0,0.0,14.2,9.29,9.29,0.0,0.0,0.0,9.29,0.0,0.0,0.0,0.0,17,2,2016
