,date,water_level,precipitation,flood_occurred
0,2016-01-01,9.300000190734863,0.0,False
1,2016-01-02,9.3,0.0,False
2,2016-01-03,9.3,0.0,False
3,2016-01-04,9.3,0.0,False
4,2016-01-05,9.3,0.0,False
5,2016-01-06,9.3,0.0,False
6,2016-01-07,9.3,0.0,False
7,2016-01-08,9.3,0.0,False
8,2016-01-09,9.3,0.0,False
9,2016-01-10,9.3,0.0,False
10,2016-01-11,9.3,0.0,False
11,2016-01-12,9.3,0.0,False
12,2016-01-13,9.3,0.0,False
13,2016-01-14,9.3,0.0,False
14,2016-01-15,9.3,0.0,False
15,2016-01-16,9.3,0.0,False
16,2016-01-17,9.3,0.0,False
17,2016-01-18,9.3,0.0,False
18,2016-01-19,9.3,0.3,False
19,2016-01-20,9.3,12.7,False
20,2016-01-21,9.3,0.8,False
21,2016-01-22,9.3,0.0,False
22,2016-01-23,9.3,0.0,False
23,2016-01-24,9.3,0.0,False
24,2016-01-25,9.3,0.4,False
25,2016-01-26,9.3,0.0,False
26,2016-01-27,9.3,0.0,False
27,2016-01-28,9.3,0.0,False
28,2016-01-29,9.3,0.0,False
29,2016-01-30,9.3,0.0,False
30,2016-01-31,9.3,0.0,False
31,2016-02-01,9.3,0.0,False
32,2016-02-02,9.3,0.0,False
33,2016-02-03,9.3,0.0,False
34,2016-02-04,9.3,0.0,False
35,2016-02-05,9.3,0.0,False
36,2016-02-06,9.3,0.0,False
37,2016-02-07,9.3,0.0,False
38,2016-02-08,9.3,0.0,False
39,2016-02-09,9.3,0.0,False
40,2016-02-10,9.3,0.0,False
41,2016-02-11,9.3,0.0,False
42,2016-02-12,9.29,0.0,False
43,2016-02-13,9.29,0.0,False
44,2016-02-14,9.29,0.0,False
45,2016-02-15,9.29,0.0,False
46,2016-02-16,9.29,0.0,False
47,2016-02-17,9.29,0.0,False
48,2016-02-18,9.29,0.0,False
49,2016-02-19,9.29,0.0,False
50,2016-02-20,9.29,0.0,False
51,2016-02-21,9.29,0.0,False
52,2016-02-22,9.29,0.0,False
53,2016-02-23,9.29,0.0,False
54,2016-02-24,9.29,0.0,False
55,2016-02-25,9.29,0.0,False
56,2016-02-26,9.29,0.0,False
57,2016-02-27,9.29,0.0,False
58,2016-02-28,9.29,0.0,False
59,2016-02-29,9.29,0.0,False
60,2016-03-01,9.29,0.0,False
61,2016-03-02,9.29,0.0,False
62,2016-03-03,9.29,0.0,False
63,2016-03-04,9.29,0.0,False
64,2016-03-05,9.29,0.0,False
65,2016-03-06,9.29,0.0,False
66,2016-03-07,9.29,0.0,False
67,2016-03-08,9.29,0.0,False
68,2016-03-09,9.29,0.0,False
69,2016-03-10,9.29,0.0,False
70,2016-03-11,9.29,0.0,False
71,2016-03-12,9.29,0.0,False
72,2016-03-13,9.29,0.0,False
73,2016-03-14,9.29,0.0,False
74,2016-03-15,9.29,0.0,False
75,2016-03-16,9.29,0.0,False
76,2016-03-17,9.29,0.0,False
77,2016-03-18,9.29,0.0,False
78,2016-03-19,9.29,0.0,False
79,2016-03-20,9.29,0.0,False
80,2016-03-21,9.29,0.0,False
81,2016-03-22,9.29,0.0,False
82,2016-03-23,9.29,0.0,False
83,2016-03-24,9.29,0.0,False
